Amount,Counterpart/Fund,Date,Price,Type,Volume
"10000,00",Autogiro,"2025-01-13T10:45:54.384097Z",,Deposit,
"5623,19","Lysa Global Equity Broad C","2025-01-14T10:35:23.423416Z","259,21",Buy,"21,6936"
"799,20","Lysa Global Small Cap Equity Broad B","2025-01-14T10:35:51.238053Z","99,66",Buy,"8,0193"
"1800,00","Lysa Sweden Equity Broad B","2025-01-14T10:36:26.434902Z","110,77",Buy,"16,2499"
"777,59","Lysa Emerging Markets Equity Broad B","2025-01-14T10:37:04.544218Z","98,54",Buy,"7,8912"
"1000,00","Lysa Räntor C","2025-01-14T10:37:33.709481Z","105,76",Buy,"9,4554"
"50000,00",Autogiro,"2025-01-17T10:46:28.425629Z",,Deposit,
"28228,90","Lysa Global Equity Broad C","2025-01-20T10:30:20.27776Z","262,68",Buy,"107,4650"
"3994,90","Lysa Global Small Cap Equity Broad B","2025-01-20T10:30:41.932278Z","101,64",Buy,"39,3045"
"8964,51","Lysa Sweden Equity Broad B","2025-01-20T10:31:12.286084Z","115,96",Buy,"77,3070"
"3806,59","Lysa Emerging Markets Equity Broad B","2025-01-20T10:31:45.547901Z","100,11",Buy,"38,0241"
"5005,06","Lysa Räntor C","2025-01-20T10:32:08.971936Z","106,35",Buy,"47,0622"
